127.0.0.1 - - [30/Jun/2023:20:32:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/ HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/ladis-bag.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/smoking-e-cigarette.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/smoking-e-cigarette-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/men-watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/female-shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:52 +0530] "GET /shopping-cart/product-image/men-suits.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:55 +0530] "GET /shopping-cart/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:58 +0530] "POST /shopping-cart/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:32:58 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:18 +0530] "GET /shopping-cart/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:18 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:19 +0530] "GET /shopping-cart/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:19 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:20 +0530] "GET /shopping-cart/add-to-cart?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:20 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:22 +0530] "GET /shopping-cart/add-to-cart?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:22 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:25 +0530] "GET /shopping-cart/add-to-cart?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:25 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:28 +0530] "GET /shopping-cart/add-to-cart?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:28 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:37:39 +0530] "GET /shopping-cart/add-to-cart?id=2 HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:40:44 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:50 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:50 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:51 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:51 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:52 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:52 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:53 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:53 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:42:54 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
